epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8134,1.8015,2.91655,1.20529,0.95652,0.04742,0.18886,0.09644,1.25782,66.0797,0.78312,0.000657534,0.000657534,0.000657534
2,33.5958,1.8004,1.86188,1.23729,0.50658,0.32636,0.32969,0.11224,1.51713,19.6084,1.02102,0.00129798,0.00129798,0.00129798
3,47.6646,1.81668,1.58508,1.24461,0.41511,0.35007,0.27316,0.08161,1.51452,20.5664,1.02996,0.00191203,0.00191203,0.00191203
4,61.4082,1.81861,1.49188,1.25223,0.28776,0.2887,0.19397,0.06721,1.68775,23.3532,1.16612,0.0018812,0.0018812,0.0018812
5,75.0474,1.77592,1.35626,1.24342,0.45559,0.31279,0.29475,0.09528,1.61611,6.22986,1.13786,0.0018416,0.0018416,0.0018416
6,88.5633,1.76135,1.2693,1.23692,0.4022,0.32497,0.3185,0.11123,1.63817,3.73459,1.08864,0.001802,0.001802,0.001802
7,102.782,1.72992,1.20224,1.21969,0.46879,0.33054,0.35097,0.13337,1.48534,13.8854,1.01497,0.0017624,0.0017624,0.0017624
8,116.809,1.6984,1.1683,1.2169,0.45889,0.3844,0.37932,0.14279,1.56545,4.65342,1.04142,0.0017228,0.0017228,0.0017228
9,131.008,1.74646,1.164,1.21525,0.48148,0.37099,0.35954,0.13384,1.61888,3.49661,1.09733,0.0016832,0.0016832,0.0016832
10,144.736,1.72651,1.14377,1.21558,0.44363,0.37936,0.3275,0.11849,1.68732,9.99649,1.15425,0.0016436,0.0016436,0.0016436
11,158.469,1.69514,1.09029,1.19243,0.40717,0.36262,0.34392,0.10986,1.71771,4.73851,1.14085,0.001604,0.001604,0.001604
12,172.011,1.73661,1.11542,1.20802,0.46125,0.32357,0.332,0.12971,1.62405,5.44766,1.05162,0.0015644,0.0015644,0.0015644
13,185.799,1.65655,1.06917,1.18447,0.49699,0.3696,0.4068,0.15494,1.52363,1.50087,0.98829,0.0015248,0.0015248,0.0015248
14,199.796,1.64731,1.0619,1.1854,0.56194,0.42538,0.46924,0.18264,1.5337,1.75993,1.01328,0.0014852,0.0014852,0.0014852
15,213.638,1.68173,1.03923,1.17559,0.44175,0.34031,0.32896,0.12263,1.66387,1.71094,1.09342,0.0014456,0.0014456,0.0014456
16,227.403,1.66661,1.05529,1.18379,0.45685,0.35983,0.36059,0.13731,1.56174,3.87429,1.05015,0.001406,0.001406,0.001406
17,241.155,1.64074,1.02434,1.18589,0.50057,0.38912,0.41343,0.1514,1.57202,2.42895,1.02225,0.0013664,0.0013664,0.0013664
18,254.67,1.67026,1.01561,1.18252,0.57073,0.40424,0.49616,0.18556,1.43709,1.46237,0.97383,0.0013268,0.0013268,0.0013268
19,268.345,1.63775,0.99373,1.18035,0.50489,0.37263,0.39987,0.15713,1.53565,1.48279,1.00656,0.0012872,0.0012872,0.0012872
20,282.157,1.55828,0.96166,1.14866,0.51236,0.37936,0.39222,0.15311,1.56027,4.68257,1.05831,0.0012476,0.0012476,0.0012476
21,295.642,1.60542,0.98998,1.15426,0.41632,0.34449,0.33273,0.13479,1.61767,1.87238,1.06406,0.001208,0.001208,0.001208
22,308.98,1.66996,1.00226,1.16189,0.46222,0.33206,0.36425,0.12779,1.58134,1.30822,1.02565,0.0011684,0.0011684,0.0011684
23,322.435,1.56967,0.99718,1.13003,0.46232,0.3696,0.39812,0.15051,1.51045,2.60296,1.00928,0.0011288,0.0011288,0.0011288
24,335.901,1.62504,0.97648,1.15314,0.46347,0.37228,0.41414,0.15948,1.55294,2.43418,1.03589,0.0010892,0.0010892,0.0010892
25,349.756,1.62069,0.95962,1.16399,0.50875,0.38354,0.41066,0.1576,1.60301,2.06183,1.06374,0.0010496,0.0010496,0.0010496
26,363.419,1.60655,0.93345,1.13713,0.50495,0.43933,0.45887,0.16362,1.56949,1.98076,1.03887,0.00101,0.00101,0.00101
27,376.805,1.58411,0.91894,1.14641,0.46361,0.39781,0.38892,0.14827,1.57517,1.35272,1.05375,0.0009704,0.0009704,0.0009704
28,390.119,1.5769,0.90421,1.15805,0.5254,0.41283,0.45975,0.17402,1.52818,1.14414,1.01194,0.0009308,0.0009308,0.0009308
29,403.702,1.53793,0.87434,1.14463,0.47932,0.36262,0.40518,0.16533,1.52831,1.27452,1.01099,0.0008912,0.0008912,0.0008912
30,417.418,1.52928,0.86762,1.1298,0.50683,0.38354,0.42309,0.15698,1.57317,1.98769,1.08343,0.0008516,0.0008516,0.0008516
31,430.917,1.59641,0.89308,1.18202,0.5453,0.40644,0.45161,0.16847,1.55233,1.51476,1.01007,0.000812,0.000812,0.000812
32,444.587,1.50769,0.86136,1.11293,0.50606,0.35009,0.41233,0.15954,1.57411,1.43219,1.05317,0.0007724,0.0007724,0.0007724
33,458.285,1.5773,0.86935,1.14138,0.48277,0.31894,0.37942,0.1623,1.50706,1.27775,1.01963,0.0007328,0.0007328,0.0007328
34,471.868,1.49128,0.84892,1.11708,0.45385,0.33891,0.38387,0.14565,1.59974,1.32682,1.08756,0.0006932,0.0006932,0.0006932
35,485.569,1.49359,0.83902,1.12267,0.53018,0.40586,0.468,0.1933,1.4466,1.55328,0.97192,0.0006536,0.0006536,0.0006536
36,499.277,1.52584,0.8336,1.11711,0.56238,0.35704,0.44091,0.1621,1.60835,2.42691,1.07586,0.000614,0.000614,0.000614
37,512.984,1.52977,0.83823,1.11314,0.45368,0.36262,0.40342,0.16029,1.53886,1.21365,1.04114,0.0005744,0.0005744,0.0005744
38,526.877,1.49419,0.83124,1.11675,0.45641,0.36262,0.39665,0.15616,1.63035,1.53549,1.08379,0.0005348,0.0005348,0.0005348
39,540.347,1.49094,0.79613,1.11058,0.49255,0.35425,0.40745,0.15824,1.60397,1.26026,1.04645,0.0004952,0.0004952,0.0004952
40,553.94,1.4915,0.80897,1.10508,0.51891,0.31241,0.38863,0.15248,1.65206,1.57142,1.106,0.0004556,0.0004556,0.0004556
41,620.817,1.50245,0.79735,1.11831,0.50441,0.38896,0.43717,0.16988,1.55935,1.42251,1.05155,0.000416,0.000416,0.000416
42,634.833,1.53551,0.78737,1.12571,0.57367,0.40446,0.46655,0.18414,1.51597,1.30346,1.02112,0.0003764,0.0003764,0.0003764
43,648.555,1.50371,0.78491,1.12959,0.56444,0.38773,0.46358,0.18374,1.5155,1.16121,1.03709,0.0003368,0.0003368,0.0003368
44,661.994,1.50745,0.75791,1.12041,0.52223,0.37936,0.44569,0.17317,1.54632,1.22982,1.04447,0.0002972,0.0002972,0.0002972
45,675.859,1.48458,0.76196,1.11634,0.53268,0.38633,0.45166,0.18256,1.51549,1.18052,1.02411,0.0002576,0.0002576,0.0002576
46,689.988,1.47378,0.75269,1.11924,0.55026,0.36176,0.45725,0.18505,1.49138,1.2865,1.01943,0.000218,0.000218,0.000218
47,703.654,1.46976,0.73404,1.10908,0.5515,0.39749,0.47084,0.18736,1.51038,1.30741,1.02924,0.0001784,0.0001784,0.0001784
48,717.231,1.447,0.72673,1.11381,0.53604,0.35565,0.43709,0.17273,1.56394,1.2197,1.06539,0.0001388,0.0001388,0.0001388
49,730.876,1.48608,0.73696,1.11517,0.51252,0.33579,0.41654,0.16909,1.54536,1.38032,1.05446,9.92e-05,9.92e-05,9.92e-05
50,744.058,1.46318,0.73754,1.10954,0.53192,0.3566,0.43554,0.17851,1.52523,1.27894,1.03296,5.96e-05,5.96e-05,5.96e-05
